Category,Department,Keywords,Severity
Assault,Commissioner of Law Enforcement,"violent attack, armed assault, threatening",High
Drug-Related Offenses,Chief of Narcotics Control,"substance abuse, cocaine, controlled substances",Low
Theft,Directorate of Police,"ran off with, broke in and took, went missing from, cash stolen",Critical
Drug-Related Offenses,Chief of Narcotics Control,"street drugs, dealing from car, suspicious packages",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug smuggling, drug sale, synthetic drugs, drug laboratory, substance abuse, narcotics",Low
Theft,Directorate of Police,"snatched, took everything, grabbed my",High
Fraud,Head of Financial Crimes Unit,"suspicious charge, identity fraud, fake email, insurance fraud",Low
Cybercrime,Head of Cyber Crime Bureau,"weird emails, cyber stalking, cyber blackmail, phishing",Low
Cybercrime,Head of Cyber Crime Bureau,"identity stolen online, account hacked, online impersonation, data theft",Medium
Fraud,Head of Financial Crimes Unit,"investment fraud, suspicious call, tax fraud, real estate fraud",Medium
Theft,Directorate of Police,"porch pirate, grand theft, ran off with, stolen property, looted, vehicle break-in",Medium
Fraud,Head of Financial Crimes Unit,"financial deception, real estate fraud, welfare fraud",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug distribution, controlled substances, marijuana, crystal meth",Low
Cybercrime,Head of Cyber Crime Bureau,"strange messages, spam emails, internet fraud, fake website, malware, bitcoin scam",High
Drug-Related Offenses,Chief of Narcotics Control,"illegal substances, methamphetamine, dealing from car",Critical
Assault,Commissioner of Law Enforcement,"threatened to hurt, bodily harm, beat me up, battery, picked a fight",Low
Drug-Related Offenses,Chief of Narcotics Control,"methamphetamine, drug paraphernalia, psychedelic drugs",Critical
Cybercrime,Head of Cyber Crime Bureau,"botnet attack, ransomware, computer infected, breach, spam emails, email compromise",Medium
Assault,Commissioner of Law Enforcement,"violent confrontation, domestic violence, getting threatening, acting aggressive",Critical
Theft,Directorate of Police,"taken from my car, burglary, shoplifting, commercial burglary, someone took my, snatched",High
Theft,Directorate of Police,"property theft, cleaned out my, shoplifting, copper wire theft",Critical
Drug-Related Offenses,Chief of Narcotics Control,"crystal meth, drug paraphernalia, drug laboratory, drug cartel",Low
Assault,Commissioner of Law Enforcement,"started swinging, bar fight, threatened to hurt, physical altercation, fight",Critical
Fraud,Head of Financial Crimes Unit,"tech support scam, fraudulent documents, employment fraud",Medium
Fraud,Head of Financial Crimes Unit,"bank fraud, scam, mail fraud",Medium
Fraud,Head of Financial Crimes Unit,"real estate fraud, tech support scam, advance fee fraud, check fraud, credit card, forgery",Low
Theft,Directorate of Police,"missing, jewelry theft, property theft, ran off with, residential burglary, made off with",Medium
Fraud,Head of Financial Crimes Unit,"false promises, fake email, lottery scam",Low
Cybercrime,Head of Cyber Crime Bureau,"phone hacked, cyber extortion, tech support scam, cyber security breach",Critical
Fraud,Head of Financial Crimes Unit,"insurance scam, card got charged, investment scam, healthcare fraud, pyramid scheme",Critical
Theft,Directorate of Police,"commercial burglary, missing, ran off with, missing from my porch, cleaned out my",High
Cybercrime,Head of Cyber Crime Bureau,"internet fraud, identity breach, cyber threat, cyber espionage, strange messages, computer infected",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug related, suspicious visitors, drug drops, psychedelic drugs, illegal prescriptions, drug paraphernalia",Critical
Assault,Commissioner of Law Enforcement,"physical injury, got attacked, threw punches, getting threatening, threatened to hurt, gang violence",Low
Assault,Commissioner of Law Enforcement,"physical injury, violence, roughed up, attacked me",High
Drug-Related Offenses,Chief of Narcotics Control,"substance abuse, weird smell, trafficking, crack house",Medium
Drug-Related Offenses,Chief of Narcotics Control,"late night activity, suspicious packages, illegal substances, drug ring, drug related, drug drops",High
Assault,Commissioner of Law Enforcement,"started swinging, aggressive behavior, coming after me",High
Drug-Related Offenses,Chief of Narcotics Control,"drug money, synthetic drugs, drug enforcement, drug cartel, pills for sale",Critical
Cybercrime,Head of Cyber Crime Bureau,"webcam hacked, suspicious login, keylogger, password stolen, cyber fraud, weird emails",High
Fraud,Head of Financial Crimes Unit,"credit card skimming, cheating, money laundering, investment fraud, credit card, payment fraud",Critical
Cybercrime,Head of Cyber Crime Bureau,"bitcoin scam, email scam, online impersonation, cyber espionage, denial of service, social media scam",Critical
Drug-Related Offenses,Chief of Narcotics Control,"methamphetamine, prescription drugs, drug addiction, illegal substances, pharmaceutical theft, selling drugs",High
Theft,Directorate of Police,"car gone, pickpocket, broke into my house, stolen from my yard, grand theft, cleaned out my",High
Cybercrime,Head of Cyber Crime Bureau,"account hacked, database breach, spam emails, cryptocurrency scam, webcam hacked",Low
Theft,Directorate of Police,"looted, burglary, car theft, bike theft",High
Theft,Directorate of Police,"bike gone, bike theft, catalytic converter theft, burglary, cleaned out my",Low
Cybercrime,Head of Cyber Crime Bureau,"data leak, password theft, cyber fraud",Medium
Assault,Commissioner of Law Enforcement,"threw punches, punch, beat me up",Medium
Fraud,Head of Financial Crimes Unit,"lottery scam, healthcare fraud, tech support scam, counterfeit, telemarketing fraud",Low
Cybercrime,Head of Cyber Crime Bureau,"ransomware, account compromised, account hacked, trojan horse, internet scam",Medium
Theft,Directorate of Police,"grabbed my, emptied my, copper wire theft, larceny, took my stuff",High
Assault,Commissioner of Law Enforcement,"physical harassment, violent behavior, knocked me down",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyber espionage, social media scam, account hacked, online harassment, cyber bullying",Medium
Cybercrime,Head of Cyber Crime Bureau,"computer infected, keylogger, website defacement",Low
Cybercrime,Head of Cyber Crime Bureau,"data theft, phone hacked, spam emails, online stalking",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug paraphernalia, street drugs, drug money, drug ring, ecstasy, people coming and going",High
Cybercrime,Head of Cyber Crime Bureau,"social media scam, online impersonation, email compromise, computer infected, webcam hacked",Critical
Theft,Directorate of Police,"residential burglary, smartphone theft, ransacked, steal, grabbed my, car gone",Critical
Theft,Directorate of Police,"ran off with, auto theft, cleaned out my, took my stuff",Medium
Drug-Related Offenses,Chief of Narcotics Control,"possession, marijuana, prescription drugs, strange odors, drug activity, pharmaceutical theft",Low
Cybercrime,Head of Cyber Crime Bureau,"online scam, cyber fraud, identity stolen online",Medium
Theft,Directorate of Police,"looted, laptop stolen, retail theft",High
Drug-Related Offenses,Chief of Narcotics Control,"sketchy behavior, illegal prescription, narcotics",Critical
Assault,Commissioner of Law Enforcement,"got into a fight, attacked me, bodily harm",Medium
Cybercrime,Head of Cyber Crime Bureau,"pop-up scam, weird emails, database breach, internet fraud, bitcoin scam, cyberstalking",Low
Theft,Directorate of Police,"missing, auto theft, steal, took my stuff",High
Fraud,Head of Financial Crimes Unit,"pretending to be, insurance fraud, lottery scam, mail fraud, card got charged, fake website",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber security breach, website defacement, email compromise, breach, suspicious login, hacking incident",Medium
Assault,Commissioner of Law Enforcement,"physical abuse, assault with weapon, hit, physical intimidation, aggravated assault, battery",Medium
Fraud,Head of Financial Crimes Unit,"cheating, healthcare fraud, credit card skimming, check fraud",Critical
Cybercrime,Head of Cyber Crime Bureau,"computer infected, cyberstalking, online harassment, strange messages, online harassment, cyber stalking",Critical
Theft,Directorate of Police,"larceny, missing, stolen property",Low
Theft,Directorate of Police,"grand theft, pickpocket, stealing, bike theft",High
Fraud,Head of Financial Crimes Unit,"credit card, payment fraud, credit fraud, fraudulent documents, identity fraud",Critical
Assault,Commissioner of Law Enforcement,"threatening, weapon assault, road rage incident",Low
Drug-Related Offenses,Chief of Narcotics Control,"people coming and going, crack house, drug paraphernalia, illegal prescription, fentanyl, suspicious packages",Critical
Theft,Directorate of Police,"robbed, package theft, made off with, bike theft, storage unit theft, cash stolen",High
Cybercrime,Head of Cyber Crime Bureau,"password theft, email hacked, network intrusion, social media hack, online scam",Medium
Theft,Directorate of Police,"property theft, ran off with, purse snatching, vehicle break-in, taken from my car, retail theft",Medium
Fraud,Head of Financial Crimes Unit,"tech support scam, money laundering, social security fraud, fraudulent documents",High
Drug-Related Offenses,Chief of Narcotics Control,"street drugs, needles found, cocaine",Critical
Cybercrime,Head of Cyber Crime Bureau,"password stolen, computer infected, cyber blackmail, cryptocurrency scam, online impersonation",Medium
Theft,Directorate of Police,"bike gone, grabbed my, looted, residential burglary",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber fraud, suspicious activity online, botnet attack, cyber blackmail, cyber stalking, website defacement",Medium
Assault,Commissioner of Law Enforcement,"jumped me, threatened to hurt, throwing things, fight, ganged up on",Medium
Theft,Directorate of Police,"went missing from, items missing, disappeared with",Low
Fraud,Head of Financial Crimes Unit,"financial deception, romance scam, telemarketing fraud, insurance fraud",Low
Theft,Directorate of Police,"broke in and took, grand theft, robbed, lifted my wallet",High
Drug-Related Offenses,Chief of Narcotics Control,"pills for sale, drug drops, needles found",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug distribution, street drugs, drug paraphernalia",Medium
Assault,Commissioner of Law Enforcement,"beat me up, violent attack, pushed me around, threatened to hurt, hit, acting aggressive",Low
Assault,Commissioner of Law Enforcement,"street fight, got attacked, aggressive behavior, pushed me around, punch",Medium
Theft,Directorate of Police,"took my stuff, retail theft, theft from vehicle, theft, residential burglary",Critical
Cybercrime,Head of Cyber Crime Bureau,"identity stolen online, tech support scam, social media scam, online harassment, identity breach, breach",High
Assault,Commissioner of Law Enforcement,"throwing things, started swinging, violent attack, physical intimidation, threatened to hurt, picked a fight",Critical
Assault,Commissioner of Law Enforcement,"beaten, knocked me down, physical harassment, armed assault, jumped me",Low
Fraud,Head of Financial Crimes Unit,"social security fraud, identity fraud, fake currency, insurance scam, bank scam, advance fee fraud",Low
Assault,Commissioner of Law Enforcement,"roughed up, group assault, gang violence",Medium
Cybercrime,Head of Cyber Crime Bureau,"password stolen, online stalking, email hacked, computer infected",High
Assault,Commissioner of Law Enforcement,"physical injury, road rage incident, violent behavior",Low
